Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,AverageScore,TotalScore,PerformanceCategory,StrongestSubject,WeakestSubject,ScoreBalance,HighPerformer,WklyStudyHours_Numeric,SiblingCategory
41,female,group C,associate's degree,standard,none,divorced,regularly,no,1.0,,5 - 10,59,74.0,69.0,67.33333333333333,202.0,Average,Reading,Math,7.637626158259734,0,7.5,One Sibling
43,male,group B,some college,free/reduced,,married,regularly,yes,3.0,school_bus,5 - 10,60,65.0,67.0,64.0,192.0,Average,Writing,Math,3.605551275463989,0,7.5,2-3 Siblings
44,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5.0,school_bus,< 5,48,55.0,52.0,51.666666666666664,155.0,Below Average,Reading,Math,3.5118845842842465,0,2.5,4+ Siblings
45,male,group B,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,< 5,63,53.0,55.0,57.0,171.0,Below Average,Math,Reading,5.291502622129181,0,2.5,2-3 Siblings
47,female,group C,high school,standard,none,married,regularly,yes,,private,5 - 10,67,72.0,77.0,72.0,216.0,Good,Writing,Math,5.0,0,7.5,4+ Siblings
49,male,group C,high school,standard,completed,married,sometimes,,3.0,,5 - 10,82,84.0,82.0,82.66666666666667,248.0,Very Good,Reading,Math,1.1547005383792517,1,7.5,2-3 Siblings
50,male,group E,some college,standard,none,married,,no,3.0,school_bus,> 10,54,55.0,48.0,52.333333333333336,157.0,Below Average,Reading,Writing,3.7859388972001824,0,12.5,2-3 Siblings
51,male,,associate's degree,free/reduced,completed,married,regularly,no,2.0,private,< 5,76,68.0,68.0,70.66666666666667,212.0,Good,Math,Reading,4.618802153517006,0,2.5,2-3 Siblings
52,male,group C,some college,standard,none,divorced,regularly,yes,3.0,school_bus,> 10,56,45.0,43.0,48.0,144.0,Poor,Math,Writing,7.0,0,12.5,2-3 Siblings
53,male,group D,high school,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,88,78.0,75.0,80.33333333333333,241.0,Very Good,Math,Writing,6.8068592855540455,1,7.5,2-3 Siblings
54,female,,some high school,free/reduced,completed,married,regularly,yes,,private,> 10,75,86.0,90.0,83.66666666666667,251.0,Very Good,Writing,Math,7.76745346515403,1,12.5,4+ Siblings
55,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2.0,private,5 - 10,33,41.0,43.0,39.0,117.0,Poor,Writing,Math,5.291502622129181,0,7.5,2-3 Siblings
56,female,group E,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,> 10,84,86.0,87.0,85.66666666666667,257.0,Very Good,Writing,Math,1.5275252316519468,1,12.5,2-3 Siblings
57,male,group D,associate's degree,standard,none,single,sometimes,no,2.0,private,5 - 10,52,55.0,49.0,52.0,156.0,Below Average,Reading,Writing,3.0,0,7.5,2-3 Siblings
58,male,group D,,standard,completed,married,regularly,no,1.0,private,> 10,61,60.0,60.0,60.333333333333336,181.0,Average,Math,Reading,0.5773502691896258,0,12.5,One Sibling
59,female,group C,some high school,free/reduced,none,single,regularly,yes,3.0,school_bus,> 10,23,27.5,26.5,25.666666666666668,77.0,Poor,Reading,Math,2.3629078131263044,0,12.5,2-3 Siblings
61,male,group A,some high school,free/reduced,none,married,sometimes,yes,,school_bus,5 - 10,39,39.0,34.0,37.333333333333336,112.0,Poor,Math,Writing,2.8867513459481287,0,7.5,4+ Siblings
62,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,62,61.0,55.0,59.333333333333336,178.0,Below Average,Math,Writing,3.7859388972001824,0,7.5,4+ Siblings
64,female,group D,some high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,59,58.0,59.0,58.666666666666664,176.0,Below Average,Math,Reading,0.5773502691896258,0,7.5,Only Child
65,male,group B,some high school,standard,none,married,never,yes,1.0,private,< 5,63,62.0,58.0,61.0,183.0,Average,Math,Writing,2.6457513110645907,0,2.5,One Sibling
66,male,group D,some high school,free/reduced,none,married,sometimes,yes,4.0,school_bus,5 - 10,45,37.0,37.0,39.666666666666664,119.0,Poor,Math,Reading,4.618802153517007,0,7.5,4+ Siblings
67,female,group C,some college,standard,none,married,regularly,no,3.0,school_bus,5 - 10,61,73.0,75.0,69.66666666666667,209.0,Average,Writing,Math,7.571877794400366,0,7.5,2-3 Siblings
68,male,group B,associate's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,,62,58.0,57.0,59.0,177.0,Below Average,Math,Writing,2.6457513110645907,0,,2-3 Siblings
69,female,group C,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10,39,64.0,57.0,53.333333333333336,160.0,Below Average,Reading,Math,12.897028081435401,0,7.5,2-3 Siblings
71,male,group D,some college,standard,completed,divorced,sometimes,yes,3.0,private,> 10,64,55.0,64.0,61.0,183.0,Average,Math,Reading,5.196152422706632,0,12.5,2-3 Siblings
72,female,group A,associate's degree,free/reduced,none,single,regularly,yes,1.0,private,5 - 10,42,51.0,49.0,47.333333333333336,142.0,Poor,Reading,Math,4.725815626252609,0,7.5,One Sibling
73,male,group C,some high school,free/reduced,none,divorced,never,yes,3.0,school_bus,5 - 10,59,56.0,54.0,56.333333333333336,169.0,Below Average,Math,Writing,2.516611478423583,0,7.5,2-3 Siblings
74,male,group C,some high school,standard,,married,sometimes,yes,2.0,private,< 5,47,48.0,40.0,45.0,135.0,Poor,Reading,Writing,4.358898943540674,0,2.5,2-3 Siblings
75,male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,,school_bus,5 - 10,44,41.0,38.0,41.0,123.0,Poor,Math,Writing,3.0,0,7.5,4+ Siblings
76,male,group E,some high school,standard,none,,sometimes,no,5.0,school_bus,5 - 10,28,27.5,26.5,27.333333333333332,82.0,Poor,Math,Writing,0.7637626158259733,0,7.5,4+ Siblings
77,male,group A,,standard,completed,,regularly,yes,,,5 - 10,82,79.0,83.0,81.33333333333333,244.0,Very Good,Writing,Reading,2.081665999466133,1,7.5,4+ Siblings
78,female,group D,some high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,> 10,62,75.0,73.0,70.0,210.0,Good,Reading,Math,7.0,0,12.5,2-3 Siblings
79,female,group E,master's degree,standard,none,divorced,never,yes,1.0,school_bus,5 - 10,60,68.0,68.0,65.33333333333333,196.0,Average,Reading,Math,4.618802153517006,0,7.5,One Sibling
80,female,group B,associate's degree,standard,none,married,regularly,yes,0.0,private,> 10,49,50.0,52.0,50.333333333333336,151.0,Below Average,Writing,Math,1.5275252316519465,0,12.5,Only Child
81,male,group B,high school,free/reduced,none,married,sometimes,yes,0.0,private,,49,45.0,45.0,46.333333333333336,139.0,Poor,Math,Reading,2.309401076758503,0,,Only Child
82,male,group A,some college,free/reduced,completed,married,sometimes,no,,school_bus,5 - 10,50,47.0,54.0,50.333333333333336,151.0,Below Average,Writing,Reading,3.511884584284246,0,7.5,4+ Siblings
83,male,group E,associate's degree,standard,none,married,regularly,yes,0.0,private,5 - 10,74,64.0,64.0,67.33333333333333,202.0,Average,Math,Reading,5.773502691896257,0,7.5,Only Child
84,male,group D,high school,free/reduced,none,married,never,,3.0,private,5 - 10,40,38.0,33.0,37.0,111.0,Poor,Math,Writing,3.605551275463989,0,7.5,2-3 Siblings
85,female,group C,some college,standard,none,divorced,sometimes,yes,0.0,private,5 - 10,73,80.0,82.0,78.33333333333333,235.0,Good,Writing,Math,4.725815626252608,0,7.5,Only Child
86,female,group C,some college,free/reduced,none,married,sometimes,yes,,school_bus,< 5,73,81.0,86.0,80.0,240.0,Very Good,Writing,Math,6.557438524302,1,2.5,4+ Siblings
87,female,group D,associate's degree,standard,none,single,sometimes,yes,0.0,private,5 - 10,71,71.0,74.0,72.0,216.0,Good,Writing,Math,1.7320508075688772,0,7.5,Only Child
88,female,group A,some college,standard,none,divorced,regularly,yes,3.0,school_bus,< 5,57,69.0,67.0,64.33333333333333,193.0,Average,Reading,Math,6.429100507328637,0,2.5,2-3 Siblings
89,female,group D,some high school,standard,none,single,sometimes,yes,,private,> 10,75,87.0,83.0,81.66666666666667,245.0,Very Good,Reading,Math,6.110100926607787,1,12.5,4+ Siblings
91,male,group C,high school,free/reduced,none,divorced,regularly,no,4.0,,5 - 10,27,34.0,36.0,32.333333333333336,97.0,Poor,Writing,Math,4.725815626252609,0,7.5,4+ Siblings
92,male,group C,high school,standard,none,divorced,sometimes,no,1.0,,< 5,68,77.0,69.0,71.33333333333333,214.0,Good,Reading,Math,4.932882862316247,0,2.5,One Sibling
93,male,group C,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,> 10,45,46.0,52.0,47.666666666666664,143.0,Poor,Writing,Math,3.7859388972001824,0,12.5,2-3 Siblings
94,female,group B,some college,standard,none,married,regularly,yes,4.0,private,5 - 10,81,87.0,94.0,87.33333333333333,262.0,Very Good,Writing,Math,6.506407098647712,1,7.5,4+ Siblings
96,male,group B,some high school,standard,completed,married,regularly,yes,5.0,school_bus,5 - 10,63,65.0,61.0,63.0,189.0,Average,Reading,Writing,2.0,0,7.5,4+ Siblings
97,female,,some college,standard,completed,married,never,yes,0.0,school_bus,< 5,59,69.0,66.0,64.66666666666667,194.0,Average,Reading,Math,5.131601439446884,0,2.5,Only Child
98,female,group D,some college,free/reduced,none,single,regularly,yes,2.0,,> 10,61,69.0,64.0,64.66666666666667,194.0,Average,Reading,Math,4.041451884327381,0,12.5,2-3 Siblings
99,female,group D,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,64,66.0,62.0,64.0,192.0,Average,Reading,Writing,2.0,0,2.5,2-3 Siblings
100,male,group B,some college,standard,none,married,sometimes,no,6.0,school_bus,5 - 10,79,67.0,67.0,71.0,213.0,Good,Math,Reading,6.928203230275509,0,7.5,4+ Siblings
101,male,group D,bachelor's degree,standard,completed,single,sometimes,no,1.0,private,5 - 10,68,74.0,74.0,72.0,216.0,Good,Reading,Math,3.4641016151377544,0,7.5,One Sibling
102,female,group D,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,87,92.0,91.0,90.0,270.0,Excellent,Reading,Math,2.6457513110645907,1,7.5,2-3 Siblings
103,male,group B,high school,standard,completed,married,regularly,no,3.0,school_bus,5 - 10,61,44.0,48.0,51.0,153.0,Below Average,Math,Reading,8.888194417315589,0,7.5,2-3 Siblings
104,male,,some college,standard,completed,married,regularly,yes,1.0,school_bus,> 10,100,88.0,94.0,94.0,282.0,Excellent,Math,Reading,6.0,1,12.5,One Sibling
105,female,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,58,67.0,72.0,65.66666666666667,197.0,Average,Writing,Math,7.094598884597588,0,7.5,Only Child
106,female,group D,master's degree,standard,none,married,sometimes,no,3.0,private,5 - 10,87,100.0,100.0,95.66666666666667,287.0,Excellent,Reading,Math,7.505553499465136,1,7.5,2-3 Siblings
107,male,group E,,standard,completed,single,sometimes,yes,0.0,school_bus,5 - 10,66,63.0,64.0,64.33333333333333,193.0,Average,Math,Reading,1.5275252316519468,0,7.5,Only Child
108,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,52,76.0,70.0,66.0,198.0,Average,Reading,Math,12.489995996796797,0,7.5,2-3 Siblings
109,female,group B,some high school,standard,none,single,regularly,no,3.0,school_bus,5 - 10,72,64.0,73.0,69.66666666666667,209.0,Average,Writing,Reading,4.932882862316247,0,7.5,2-3 Siblings
110,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4.0,school_bus,> 10,79,90.0,99.0,89.33333333333333,268.0,Very Good,Writing,Math,10.016652800877813,1,12.5,4+ Siblings
111,male,group C,high school,standard,none,single,regularly,no,6.0,,5 - 10,63,55.0,50.0,56.0,168.0,Below Average,Math,Writing,6.557438524302,0,7.5,4+ Siblings
112,male,group A,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,54,53.0,47.0,51.333333333333336,154.0,Below Average,Math,Writing,3.7859388972001824,0,7.5,Only Child
113,female,group D,some college,standard,none,married,never,yes,1.0,school_bus,< 5,47,56.0,51.0,51.333333333333336,154.0,Below Average,Reading,Math,4.509249752822894,0,2.5,One Sibling
114,female,group E,bachelor's degree,standard,completed,married,regularly,yes,3.0,school_bus,< 5,98,99.0,100.0,99.0,297.0,Excellent,Writing,Math,1.0,1,2.5,2-3 Siblings
115,male,group C,high school,standard,none,married,sometimes,yes,4.0,private,5 - 10,84,77.0,74.0,78.33333333333333,235.0,Good,Math,Writing,5.131601439446884,0,7.5,4+ Siblings
116,female,group B,bachelor's degree,free/reduced,none,single,never,no,1.0,school_bus,5 - 10,72,83.0,79.0,78.0,234.0,Good,Reading,Math,5.5677643628300215,0,7.5,One Sibling
117,female,group D,bachelor's degree,standard,none,married,never,no,2.0,private,5 - 10,75,80.0,77.0,77.33333333333333,232.0,Good,Reading,Math,2.516611478423583,0,7.5,2-3 Siblings
118,female,group D,some high school,standard,none,single,regularly,yes,0.0,private,> 10,54,64.0,63.0,60.333333333333336,181.0,Average,Reading,Math,5.507570547286102,0,12.5,Only Child
119,female,group C,some college,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,55,69.0,65.0,63.0,189.0,Average,Reading,Math,7.211102550927978,0,7.5,2-3 Siblings
120,female,group C,bachelor's degree,standard,completed,married,never,yes,1.0,school_bus,5 - 10,76,90.0,86.0,84.0,252.0,Very Good,Reading,Math,7.211102550927978,1,7.5,One Sibling
121,male,group B,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,88,87.0,90.0,88.33333333333333,265.0,Very Good,Writing,Reading,1.5275252316519468,1,2.5,2-3 Siblings
122,female,group C,some college,standard,completed,single,regularly,yes,1.0,,5 - 10,90,94.0,95.0,93.0,279.0,Excellent,Writing,Math,2.6457513110645907,1,7.5,One Sibling
123,male,group D,high school,free/reduced,none,married,sometimes,no,3.0,private,,63,57.0,56.0,58.666666666666664,176.0,Below Average,Math,Writing,3.785938897200183,0,,2-3 Siblings
124,male,group E,some college,standard,none,single,regularly,no,3.0,school_bus,< 5,82,79.0,73.0,78.0,234.0,Good,Math,Writing,4.58257569495584,0,2.5,2-3 Siblings
125,female,group B,high school,standard,none,single,never,yes,2.0,school_bus,> 10,86,94.0,85.0,88.33333333333333,265.0,Very Good,Reading,Writing,4.932882862316247,1,12.5,2-3 Siblings
126,male,group B,,standard,none,married,,no,3.0,private,5 - 10,72,68.0,67.0,69.0,207.0,Average,Math,Writing,2.6457513110645907,0,7.5,2-3 Siblings
127,male,group D,some college,standard,,married,regularly,no,3.0,school_bus,< 5,64,76.0,74.0,71.33333333333333,214.0,Good,Reading,Math,6.429100507328637,0,2.5,2-3 Siblings
128,male,group D,master's degree,standard,none,single,never,yes,2.0,private,< 5,77,81.0,72.0,76.66666666666667,230.0,Good,Reading,Writing,4.509249752822894,0,2.5,2-3 Siblings
129,female,group A,bachelor's degree,standard,none,,regularly,yes,0.0,school_bus,5 - 10,52,49.0,52.0,51.0,153.0,Below Average,Math,Reading,1.7320508075688772,0,7.5,Only Child
130,male,group D,master's degree,standard,none,single,sometimes,no,1.0,school_bus,< 5,87,84.0,82.0,84.33333333333333,253.0,Very Good,Math,Writing,2.5166114784235836,1,2.5,One Sibling
131,male,group C,some high school,free/reduced,completed,single,regularly,yes,1.0,private,< 5,52,36.0,40.0,42.666666666666664,128.0,Poor,Math,Reading,8.32666399786453,0,2.5,One Sibling
132,male,,some college,free/reduced,completed,married,regularly,yes,2.0,school_bus,5 - 10,89,75.0,71.0,78.33333333333333,235.0,Good,Math,Writing,9.451631252505218,0,7.5,2-3 Siblings
133,female,,some college,standard,completed,married,never,no,6.0,,< 5,70,78.0,80.0,76.0,228.0,Good,Writing,Math,5.291502622129181,0,2.5,4+ Siblings
134,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,76,80.0,76.0,77.33333333333333,232.0,Good,Reading,Math,2.3094010767585034,0,12.5,One Sibling
135,male,group C,bachelor's degree,standard,none,married,sometimes,yes,1.0,,< 5,56,54.0,47.0,52.333333333333336,157.0,Below Average,Math,Writing,4.725815626252609,0,2.5,One Sibling
136,male,group B,some high school,standard,completed,divorced,sometimes,yes,1.0,private,5 - 10,51,54.0,41.0,48.666666666666664,146.0,Poor,Reading,Writing,6.8068592855540455,0,7.5,One Sibling
137,male,group E,high school,standard,none,divorced,sometimes,yes,0.0,school_bus,< 5,67,54.0,54.0,58.333333333333336,175.0,Below Average,Math,Reading,7.505553499465135,0,2.5,Only Child
138,female,group C,associate's degree,standard,,married,sometimes,yes,1.0,private,5 - 10,59,66.0,67.0,64.0,192.0,Average,Writing,Math,4.358898943540674,0,7.5,One Sibling
139,male,group D,some college,standard,completed,married,sometimes,yes,0.0,private,> 10,73,61.0,70.0,68.0,204.0,Average,Math,Reading,6.244997998398398,0,12.5,Only Child
140,female,group D,some high school,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,76,72.0,71.0,73.0,219.0,Good,Math,Writing,2.6457513110645907,0,7.5,One Sibling
141,female,group C,some college,free/reduced,none,married,regularly,no,2.0,private,5 - 10,60,62.0,65.0,62.333333333333336,187.0,Average,Writing,Math,2.516611478423583,0,7.5,2-3 Siblings
142,female,group E,some college,free/reduced,completed,single,regularly,,1.0,private,< 5,41,54.0,54.0,49.666666666666664,149.0,Poor,Reading,Math,7.505553499465135,0,2.5,One Sibling
143,male,group A,high school,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,57,43.0,47.0,49.0,147.0,Poor,Math,Reading,7.211102550927978,0,7.5,One Sibling
144,male,group D,some college,standard,none,divorced,sometimes,yes,3.0,private,> 10,90,74.0,79.0,81.0,243.0,Very Good,Math,Reading,8.18535277187245,1,12.5,2-3 Siblings
145,female,group C,some college,free/reduced,none,single,regularly,yes,1.0,school_bus,< 5,23,38.0,33.0,31.333333333333332,94.0,Poor,Reading,Math,7.637626158259733,0,2.5,One Sibling
148,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1.0,private,< 5,65,73.0,79.0,72.33333333333333,217.0,Good,Writing,Math,7.023769168568492,0,2.5,One Sibling
149,male,group E,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,5 - 10,100,100.0,95.0,98.33333333333333,295.0,Excellent,Math,Writing,2.8867513459481287,1,7.5,2-3 Siblings
150,male,group A,some high school,standard,completed,married,sometimes,no,2.0,private,5 - 10,62,67.0,69.0,66.0,198.0,Average,Writing,Math,3.605551275463989,0,7.5,2-3 Siblings
152,female,group B,associate's degree,standard,completed,single,sometimes,yes,2.0,school_bus,< 5,57,68.0,64.0,63.0,189.0,Average,Reading,Math,5.5677643628300215,0,2.5,2-3 Siblings
153,male,group D,bachelor's degree,standard,none,married,sometimes,no,1.0,,5 - 10,54,49.0,47.0,50.0,150.0,Below Average,Math,Writing,3.605551275463989,0,7.5,One Sibling
154,male,group D,some high school,standard,none,single,never,no,2.0,,< 5,58,65.0,58.0,60.333333333333336,181.0,Average,Reading,Math,4.041451884327381,0,2.5,2-3 Siblings
155,female,group C,some college,standard,completed,married,regularly,yes,3.0,school_bus,< 5,69,88.0,88.0,81.66666666666667,245.0,Very Good,Reading,Math,10.96965511460289,1,2.5,2-3 Siblings
156,female,group E,high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,5 - 10,67,75.0,79.0,73.66666666666667,221.0,Good,Writing,Math,6.110100926607786,0,7.5,One Sibling
157,male,group B,,free/reduced,none,,sometimes,yes,2.0,school_bus,< 5,58,59.0,58.0,58.333333333333336,175.0,Below Average,Reading,Math,0.5773502691896258,0,2.5,2-3 Siblings
158,female,group B,associate's degree,standard,,divorced,regularly,yes,2.0,private,5 - 10,62,87.0,89.0,79.33333333333333,238.0,Good,Writing,Math,15.044378795195676,0,7.5,2-3 Siblings
159,male,group D,associate's degree,free/reduced,none,married,regularly,no,3.0,school_bus,> 10,70,63.0,66.0,66.33333333333333,199.0,Average,Math,Reading,3.511884584284246,0,12.5,2-3 Siblings
160,male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,5 - 10,82,78.0,74.0,78.0,234.0,Good,Math,Writing,4.0,0,7.5,2-3 Siblings
