Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
72,female,group A,associate's degree,free/reduced,none,single,regularly,yes,1.0,private,5 - 10,42,51.0,49.0
73,male,group C,some high school,free/reduced,none,divorced,never,yes,3.0,school_bus,5 - 10,59,56.0,54.0
74,male,group C,some high school,standard,none,married,sometimes,yes,2.0,private,< 5,47,48.0,40.0
75,male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,2.0,school_bus,5 - 10,44,41.0,38.0
76,male,group E,some high school,standard,none,married,sometimes,no,5.0,school_bus,5 - 10,28,27.5,26.5
77,male,group A,some college,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10,82,79.0,83.0
78,female,group D,some high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,> 10,62,75.0,73.0
79,female,group E,master's degree,standard,none,divorced,never,yes,1.0,school_bus,5 - 10,60,68.0,68.0
80,female,group B,associate's degree,standard,none,married,regularly,yes,0.0,private,> 10,49,50.0,52.0
81,male,group B,high school,free/reduced,none,married,sometimes,yes,0.0,private,5 - 10,49,45.0,45.0
82,male,group A,some college,free/reduced,completed,married,sometimes,no,2.0,school_bus,5 - 10,50,47.0,54.0
83,male,group E,associate's degree,standard,none,married,regularly,yes,0.0,private,5 - 10,74,64.0,64.0
84,male,group D,high school,free/reduced,none,married,never,yes,3.0,private,5 - 10,40,38.0,33.0
85,female,group C,some college,standard,none,divorced,sometimes,yes,0.0,private,5 - 10,73,80.0,82.0
86,female,group C,some college,free/reduced,none,married,sometimes,yes,2.0,school_bus,< 5,73,81.0,86.0
87,female,group D,associate's degree,standard,none,single,sometimes,yes,0.0,private,5 - 10,71,71.0,74.0
88,female,group A,some college,standard,none,divorced,regularly,yes,3.0,school_bus,< 5,57,69.0,67.0
89,female,group D,some high school,standard,none,single,sometimes,yes,2.0,private,> 10,75,87.0,83.0
91,male,group C,high school,free/reduced,none,divorced,regularly,no,4.0,school_bus,5 - 10,27,34.0,36.0
92,male,group C,high school,standard,none,divorced,sometimes,no,1.0,school_bus,< 5,68,77.0,69.0
93,male,group C,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,> 10,45,46.0,52.0
94,female,group B,some college,standard,none,married,regularly,yes,4.0,private,5 - 10,81,87.0,94.0
96,male,group B,some high school,standard,completed,married,regularly,yes,5.0,school_bus,5 - 10,63,65.0,61.0
97,female,group C,some college,standard,completed,married,never,yes,0.0,school_bus,< 5,59,69.0,66.0
98,female,group D,some college,free/reduced,none,single,regularly,yes,2.0,school_bus,> 10,61,69.0,64.0
99,female,group D,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,64,66.0,62.0
100,male,group B,some college,standard,none,married,sometimes,no,6.0,school_bus,5 - 10,79,67.0,67.0
101,male,group D,bachelor's degree,standard,completed,single,sometimes,no,1.0,private,5 - 10,68,74.0,74.0
102,female,group D,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,87,92.0,91.0
103,male,group B,high school,standard,completed,married,regularly,no,3.0,school_bus,5 - 10,61,44.0,48.0
104,male,group C,some college,standard,completed,married,regularly,yes,1.0,school_bus,> 10,100,88.0,94.0
105,female,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,58,67.0,72.0
106,female,group D,master's degree,standard,none,married,sometimes,no,3.0,private,5 - 10,87,100.0,100.0
107,male,group E,some college,standard,completed,single,sometimes,yes,0.0,school_bus,5 - 10,66,63.0,64.0
108,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,52,76.0,70.0
109,female,group B,some high school,standard,none,single,regularly,no,3.0,school_bus,5 - 10,72,64.0,73.0
110,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4.0,school_bus,> 10,79,90.0,99.0
111,male,group C,high school,standard,none,single,regularly,no,6.0,school_bus,5 - 10,63,55.0,50.0
112,male,group A,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,54,53.0,47.0
113,female,group D,some college,standard,none,married,never,yes,1.0,school_bus,< 5,47,56.0,51.0
114,female,group E,bachelor's degree,standard,completed,married,regularly,yes,3.0,school_bus,< 5,98,99.0,100.0
115,male,group C,high school,standard,none,married,sometimes,yes,4.0,private,5 - 10,84,77.0,74.0
116,female,group B,bachelor's degree,free/reduced,none,single,never,no,1.0,school_bus,5 - 10,72,83.0,79.0
117,female,group D,bachelor's degree,standard,none,married,never,no,2.0,private,5 - 10,75,80.0,77.0
118,female,group D,some high school,standard,none,single,regularly,yes,0.0,private,> 10,54,64.0,63.0
119,female,group C,some college,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,55,69.0,65.0
120,female,group C,bachelor's degree,standard,completed,married,never,yes,1.0,school_bus,5 - 10,76,90.0,86.0
121,male,group B,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,88,87.0,90.0
122,female,group C,some college,standard,completed,single,regularly,yes,1.0,school_bus,5 - 10,90,94.0,95.0
123,male,group D,high school,free/reduced,none,married,sometimes,no,3.0,private,5 - 10,63,57.0,56.0
124,male,group E,some college,standard,none,single,regularly,no,3.0,school_bus,< 5,82,79.0,73.0
125,female,group B,high school,standard,none,single,never,yes,2.0,school_bus,> 10,86,94.0,85.0
126,male,group B,some college,standard,none,married,sometimes,no,3.0,private,5 - 10,72,68.0,67.0
127,male,group D,some college,standard,none,married,regularly,no,3.0,school_bus,< 5,64,76.0,74.0
128,male,group D,master's degree,standard,none,single,never,yes,2.0,private,< 5,77,81.0,72.0
129,female,group A,bachelor's degree,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,52,49.0,52.0
130,male,group D,master's degree,standard,none,single,sometimes,no,1.0,school_bus,< 5,87,84.0,82.0
131,male,group C,some high school,free/reduced,completed,single,regularly,yes,1.0,private,< 5,52,36.0,40.0
132,male,group C,some college,free/reduced,completed,married,regularly,yes,2.0,school_bus,5 - 10,89,75.0,71.0
133,female,group C,some college,standard,completed,married,never,no,6.0,school_bus,< 5,70,78.0,80.0
134,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,76,80.0,76.0
135,male,group C,bachelor's degree,standard,none,married,sometimes,yes,1.0,school_bus,< 5,56,54.0,47.0
136,male,group B,some high school,standard,completed,divorced,sometimes,yes,1.0,private,5 - 10,51,54.0,41.0
137,male,group E,high school,standard,none,divorced,sometimes,yes,0.0,school_bus,< 5,67,54.0,54.0
138,female,group C,associate's degree,standard,none,married,sometimes,yes,1.0,private,5 - 10,59,66.0,67.0
139,male,group D,some college,standard,completed,married,sometimes,yes,0.0,private,> 10,73,61.0,70.0
140,female,group D,some high school,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,76,72.0,71.0
141,female,group C,some college,free/reduced,none,married,regularly,no,2.0,private,5 - 10,60,62.0,65.0
142,female,group E,some college,free/reduced,completed,single,regularly,yes,1.0,private,< 5,41,54.0,54.0
143,male,group A,high school,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,57,43.0,47.0
144,male,group D,some college,standard,none,divorced,sometimes,yes,3.0,private,> 10,90,74.0,79.0
145,female,group C,some college,free/reduced,none,single,regularly,yes,1.0,school_bus,< 5,23,38.0,33.0
148,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1.0,private,< 5,65,73.0,79.0
149,male,group E,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,5 - 10,100,100.0,95.0
150,male,group A,some high school,standard,completed,married,sometimes,no,2.0,private,5 - 10,62,67.0,69.0
152,female,group B,associate's degree,standard,completed,single,sometimes,yes,2.0,school_bus,< 5,57,68.0,64.0
153,male,group D,bachelor's degree,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,54,49.0,47.0
154,male,group D,some high school,standard,none,single,never,no,2.0,school_bus,< 5,58,65.0,58.0
155,female,group C,some college,standard,completed,married,regularly,yes,3.0,school_bus,< 5,69,88.0,88.0
156,female,group E,high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,5 - 10,67,75.0,79.0
157,male,group B,some college,free/reduced,none,married,sometimes,yes,2.0,school_bus,< 5,58,59.0,58.0
158,female,group B,associate's degree,standard,none,divorced,regularly,yes,2.0,private,5 - 10,62,87.0,89.0
159,male,group D,associate's degree,free/reduced,none,married,regularly,no,3.0,school_bus,> 10,70,63.0,66.0
160,male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,5 - 10,82,78.0,74.0
161,female,group E,some college,free/reduced,completed,married,sometimes,yes,3.0,school_bus,5 - 10,75,88.0,85.0
162,male,group B,master's degree,free/reduced,none,single,never,no,2.0,school_bus,5 - 10,48,53.0,52.0
163,male,group C,high school,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,52,53.0,49.0
164,female,group E,master's degree,standard,none,married,never,yes,3.0,private,< 5,76,89.0,86.0
165,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,96,100.0,100.0
166,male,group C,high school,free/reduced,completed,single,sometimes,yes,5.0,private,5 - 10,53,51.0,51.0
167,female,group B,master's degree,free/reduced,completed,married,regularly,no,1.0,private,> 10,62,79.0,83.0
168,female,group B,high school,standard,completed,married,regularly,yes,2.0,private,5 - 10,70,84.0,79.0
170,male,group A,high school,standard,completed,divorced,regularly,yes,5.0,school_bus,> 10,76,75.0,77.0
171,male,group E,some high school,standard,none,married,sometimes,no,3.0,school_bus,< 5,91,86.0,76.0
172,female,group D,some college,standard,none,single,never,yes,3.0,school_bus,5 - 10,76,84.0,78.0
173,female,group C,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,63,67.0,70.0
174,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1.0,school_bus,< 5,41,50.0,52.0
175,female,group C,master's degree,standard,completed,divorced,sometimes,yes,1.0,school_bus,5 - 10,81,92.0,89.0
176,female,group B,high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,< 5,44,53.0,56.0
177,female,group C,associate's degree,standard,completed,married,regularly,yes,2.0,school_bus,< 5,70,76.0,77.0
178,female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2.0,school_bus,5 - 10,54,72.0,65.0
179,female,group D,some high school,standard,completed,divorced,regularly,yes,0.0,school_bus,5 - 10,99,100.0,100.0
180,male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2.0,private,< 5,60,68.0,75.0
181,female,group C,some college,free/reduced,none,single,sometimes,yes,1.0,private,5 - 10,46,64.0,66.0
182,female,group E,high school,standard,none,married,sometimes,yes,3.0,private,5 - 10,50,50.0,47.0
183,female,group D,associate's degree,standard,none,single,sometimes,no,2.0,private,< 5,63,67.0,68.0
185,male,group C,associate's degree,free/reduced,completed,married,never,yes,5.0,private,< 5,61,65.0,62.0
186,male,group E,high school,standard,none,married,never,yes,1.0,school_bus,< 5,75,73.0,62.0
187,male,group D,some high school,standard,completed,married,sometimes,no,4.0,private,5 - 10,62,66.0,68.0
188,male,group B,some high school,free/reduced,none,married,regularly,no,3.0,school_bus,< 5,47,51.0,45.0
189,female,group C,bachelor's degree,standard,none,single,sometimes,yes,1.0,school_bus,< 5,74,86.0,85.0
190,female,group E,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,66,65.0,69.0
191,male,group D,some college,standard,completed,married,sometimes,no,2.0,school_bus,< 5,73,81.0,77.0
192,female,group B,some high school,standard,none,single,sometimes,no,3.0,private,5 - 10,62,64.0,66.0
193,male,group D,some college,standard,completed,married,regularly,yes,4.0,school_bus,5 - 10,79,62.0,63.0
194,female,group C,master's degree,standard,completed,married,regularly,yes,1.0,school_bus,< 5,69,85.0,87.0
195,male,group D,associate's degree,standard,none,married,regularly,no,4.0,school_bus,< 5,60,54.0,52.0
196,male,group C,some college,free/reduced,completed,married,never,yes,1.0,school_bus,5 - 10,57,67.0,63.0
197,male,group E,high school,free/reduced,none,married,sometimes,no,6.0,private,> 10,56,56.0,52.0
198,female,group B,some college,free/reduced,none,widowed,regularly,yes,3.0,school_bus,> 10,47,54.0,57.0
199,female,group B,bachelor's degree,free/reduced,none,married,regularly,yes,3.0,private,5 - 10,80,80.0,77.0
200,female,group C,associate's degree,standard,completed,single,regularly,no,1.0,private,< 5,66,83.0,86.0
201,female,group D,some college,free/reduced,none,divorced,sometimes,yes,3.0,school_bus,< 5,63,79.0,75.0
202,male,group C,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,77.0,69.0
203,female,group C,associate's degree,standard,none,married,regularly,yes,2.0,school_bus,5 - 10,58,70.0,69.0
204,male,group C,some college,standard,none,single,regularly,yes,1.0,school_bus,< 5,58,40.0,42.0
205,male,group D,some high school,standard,completed,married,sometimes,yes,2.0,school_bus,< 5,71,69.0,76.0
206,male,group E,bachelor's degree,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,84,62.0,63.0
207,male,group E,high school,standard,completed,married,regularly,no,2.0,school_bus,5 - 10,83,81.0,77.0
208,female,group B,some college,free/reduced,none,married,regularly,yes,1.0,private,< 5,73,80.0,76.0
209,female,group B,some college,free/reduced,none,single,sometimes,no,2.0,school_bus,5 - 10,58,61.0,66.0
210,male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3.0,school_bus,< 5,77,77.0,77.0
211,male,group C,some college,free/reduced,none,married,sometimes,yes,3.0,school_bus,5 - 10,35,28.0,27.0
212,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,42,62.0,60.0
213,male,group C,associate's degree,free/reduced,completed,single,regularly,no,1.0,school_bus,5 - 10,61,51.0,57.0
214,male,group E,high school,standard,none,married,sometimes,yes,1.0,private,5 - 10,87,91.0,81.0
215,male,group B,some high school,standard,completed,married,regularly,no,2.0,private,5 - 10,86,84.0,76.0
216,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3.0,school_bus,< 5,80,84.0,86.0
217,female,group C,high school,free/reduced,none,married,regularly,no,3.0,school_bus,< 5,33,41.0,39.0
218,male,group B,high school,free/reduced,none,married,sometimes,no,2.0,school_bus,< 5,64,75.0,68.0
219,male,group B,some high school,standard,completed,single,never,no,1.0,school_bus,5 - 10,59,55.0,54.0
220,female,group D,high school,standard,completed,widowed,regularly,yes,4.0,school_bus,5 - 10,57,69.0,75.0
221,male,group B,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,> 10,89,86.0,74.0
222,female,group C,some high school,free/reduced,none,divorced,sometimes,no,3.0,school_bus,5 - 10,55,65.0,62.0
223,male,group D,some high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10,88,81.0,76.0
224,female,group B,associate's degree,standard,completed,divorced,regularly,yes,3.0,school_bus,> 10,55,67.0,76.0
225,female,group E,master's degree,free/reduced,none,married,sometimes,no,2.0,private,< 5,43,55.0,52.0
226,female,group C,some college,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,72,72.0,71.0
227,male,group D,high school,standard,none,single,regularly,yes,0.0,school_bus,5 - 10,58,50.0,55.0
228,male,group A,some college,free/reduced,none,divorced,sometimes,no,4.0,school_bus,5 - 10,68,72.0,64.0
229,female,group C,some college,standard,completed,married,regularly,yes,3.0,school_bus,> 10,93,97.0,98.0
230,male,group D,some college,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,78,64.0,67.0
231,male,group C,associate's degree,standard,none,married,regularly,yes,1.0,private,5 - 10,47,43.0,43.0
232,female,group B,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,67,86.0,83.0
233,male,group E,some high school,standard,none,divorced,sometimes,yes,3.0,school_bus,> 10,94,88.0,79.0
234,male,group C,bachelor's degree,standard,completed,married,sometimes,no,3.0,school_bus,> 10,85,83.0,85.0
235,male,group D,associate's degree,standard,none,married,regularly,no,1.0,school_bus,> 10,84,77.0,80.0
236,male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2.0,school_bus,< 5,62,65.0,67.0
237,female,group D,some high school,standard,none,married,sometimes,yes,4.0,school_bus,< 5,62,59.0,72.0
238,male,group B,some college,standard,none,married,regularly,yes,2.0,private,> 10,57,53.0,53.0
239,male,group C,associate's degree,standard,none,married,sometimes,yes,1.0,private,5 - 10,84,80.0,80.0
240,male,group D,high school,free/reduced,completed,divorced,sometimes,yes,1.0,private,> 10,75,69.0,67.0
241,female,group E,bachelor's degree,standard,none,single,regularly,no,4.0,private,5 - 10,82,84.0,85.0
243,male,group E,some college,standard,none,single,regularly,no,2.0,school_bus,< 5,58,50.0,43.0
244,male,group D,some high school,standard,none,divorced,regularly,yes,1.0,school_bus,< 5,74,73.0,69.0
245,male,group C,associate's degree,standard,none,married,sometimes,no,3.0,private,< 5,82,74.0,69.0
246,male,group E,associate's degree,standard,none,married,regularly,no,2.0,school_bus,5 - 10,91,77.0,75.0
247,female,group B,high school,standard,completed,single,sometimes,yes,1.0,private,5 - 10,58,70.0,68.0
248,female,group B,high school,standard,none,married,sometimes,yes,2.0,private,< 5,63,63.0,60.0
249,male,group C,high school,standard,none,married,sometimes,no,2.0,school_bus,> 10,70,60.0,54.0
250,male,group A,some high school,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10,47,49.0,49.0
251,female,group D,some college,free/reduced,none,married,regularly,yes,4.0,school_bus,< 5,70,82.0,83.0
252,female,group B,some high school,standard,completed,single,sometimes,yes,3.0,private,5 - 10,60,70.0,70.0
253,male,group D,master's degree,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,80,80.0,72.0
254,male,group D,high school,standard,none,married,sometimes,yes,0.0,private,5 - 10,54,52.0,52.0
255,female,group E,some college,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,62,73.0,70.0
256,female,group C,associate's degree,free/reduced,none,single,sometimes,no,5.0,private,< 5,62,71.0,66.0
257,male,group C,associate's degree,standard,completed,married,regularly,yes,1.0,school_bus,5 - 10,80,78.0,78.0
260,female,group C,some high school,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,65,80.0,78.0
261,male,group C,some college,standard,completed,married,sometimes,no,2.0,school_bus,5 - 10,79,79.0,78.0
262,female,group C,some high school,free/reduced,none,married,regularly,no,2.0,private,5 - 10,45,50.0,52.0
263,female,group E,high school,standard,none,single,sometimes,yes,1.0,private,5 - 10,99,93.0,90.0
264,male,group D,high school,standard,none,married,sometimes,no,2.0,private,5 - 10,76,73.0,68.0
265,male,group D,some high school,free/reduced,none,divorced,sometimes,no,1.0,school_bus,< 5,57,41.0,40.0
266,female,group C,bachelor's degree,standard,none,married,sometimes,no,2.0,school_bus,< 5,61,73.0,79.0
267,female,group D,high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10,71,73.0,78.0
268,female,group D,associate's degree,standard,completed,married,regularly,yes,5.0,school_bus,> 10,93,94.0,99.0
269,female,group E,some college,free/reduced,none,married,sometimes,no,2.0,school_bus,5 - 10,71,76.0,70.0
270,male,group C,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,63.0,61.0
271,male,group C,some college,standard,none,single,regularly,yes,1.0,school_bus,< 5,57,48.0,42.0
272,female,group D,associate's degree,free/reduced,none,single,regularly,yes,2.0,private,5 - 10,48,53.0,59.0
273,female,group D,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,65,70.0,71.0
274,male,group B,some college,standard,completed,widowed,sometimes,yes,1.0,school_bus,< 5,85,83.0,74.0
275,male,group C,bachelor's degree,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,83,78.0,73.0
276,female,group C,some high school,standard,completed,married,sometimes,yes,3.0,private,< 5,82,90.0,91.0
277,female,group E,some college,standard,completed,single,sometimes,no,4.0,school_bus,< 5,57,62.0,73.0
278,female,group C,some high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,65,86.0,80.0
279,male,group B,bachelor's degree,free/reduced,none,widowed,sometimes,no,2.0,school_bus,5 - 10,73,56.0,57.0
281,male,group D,high school,standard,none,divorced,sometimes,no,2.0,private,5 - 10,45,48.0,46.0
282,female,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,5 - 10,75,80.0,86.0
283,female,group D,some college,free/reduced,completed,married,never,yes,2.0,school_bus,5 - 10,67,76.0,76.0
284,female,group C,some high school,standard,none,married,regularly,yes,0.0,private,< 5,36,45.0,46.0
285,male,group B,associate's degree,standard,completed,married,never,yes,3.0,school_bus,5 - 10,78,80.0,79.0
286,male,group E,associate's degree,standard,completed,married,regularly,yes,0.0,private,5 - 10,99,83.0,90.0
287,female,group B,some high school,standard,none,married,sometimes,no,1.0,school_bus,< 5,64,87.0,80.0
288,male,group B,bachelor's degree,free/reduced,none,single,sometimes,yes,0.0,school_bus,< 5,85,73.0,74.0
289,male,group C,some high school,standard,completed,married,sometimes,yes,1.0,school_bus,> 10,79,77.0,78.0
290,male,group C,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,76,70.0,68.0
291,male,group D,some high school,standard,none,married,sometimes,yes,2.0,private,< 5,83,71.0,68.0
